"GeneSymbol","GeneID","RefSeq_Protein_GI","RefSeq_Protein_Accession","Uniprot_Protein_Accession"
"ABCA13",154664,"1034654203; 767944871; 767944873; 767944899; 767944903; 767944913; 767944909; 767944915; 767944879; 767944891; 767944905; 767944869; 767944875; 767944893; 767944907; 767944911; 1034654210; 1034654212; 1034654223; 597709765; 767944888; 767944901","XP_011513433; XP_011513435; XP_011513439; XP_011513447; XP_011513432; XP_011513446; XP_011513449; XP_016867257; XP_016867258; NP_689914; XP_011513450; XP_011513441; XP_011513445; XP_011513434; XP_011513436; XP_011513440; XP_011513443; XP_011513444; XP_011513448; XP_011513438; XP_011513451; XP_016867256","K9LC79; K9LDK8; K9LDY4; Q8N248; Q86WI2; K9LCX7; K9LC76; A0A0A0MT16; Q86UQ4; Q6ZTT7"
"ABCA2",20,"47078218; 45446740; 578817158","XP_006717059; NP_997698; NP_001597","Q9HC28; Q5W9G5; Q76MW7; Q9BZC7; A6NED5; Q5SPY5"
"ABCA3",21,"116734710; ","NP_001080; ","Q54A95; Q99758; Q4LE27; Q6P5P9; B2RU09; Q92473"
"ABCA4",24,"105990541","NP_000341; ","O60915; Q0QD48; O60438; Q4LE31; P78363; Q6AI28; O15112"
"ABCA5",23461,"27262624; 27262626","NP_061142; NP_758424","Q96LJ1; Q8IVJ2; Q8WWZ7; Q96MS4; Q96PZ9; Q9NY14"
"ABCA6",23460,"1034598976; 767994177; 1034598973; 1034598978; 27436953; 1034598982; 1034598984; 1370470562","XP_016879896; XP_016879894; XP_016879893; NP_525023; XP_011522876; XP_024306451; XP_016879897; XP_016879895","Q8N856; Q6NSH9; Q8N139; Q8WWZ6"
"ABCA7",10347,"1370474219; 1370474217; 768000611; 1034605760; 1370474209; 1370474215; 1370474228; 150417984; 1370474221; 578832920; 768000599; 1370474207; 1370474230; 1370474223; 578832917; 768000615; 1370474211; 1370474213; ","XP_006722679; XP_024307089; XP_006722680; XP_024307093; XP_011525936; XP_011525937; XP_016881632; XP_024307083; XP_024307092; XP_024307085; XP_024307090; XP_011525935; XP_024307084; XP_024307087; XP_024307088; XP_024307091; NP_061985; XP_024307086; ","B3KUJ3; Q96S58; Q9BZC4; Q9UKP8; Q8IZY2; Q9NR73"
"ABCA8",10351,"530411340; 767993229; 572882597; 6005701; 572882683","XP_005256997; NP_001275914; NP_009099; XP_011522494; NP_001275915","A0A024R8L6; Q86WW0; A1L3U3; C9JQE6; A0A0A0MSU4; O94911"
"ABCA9",10350,"1034597698; 1370469925; 1370469929; 27477115; 1034597694; 1034597696; 1370469923; 1034597702","XP_024306297; XP_016879501; XP_016879502; XP_024306298; XP_016879504; XP_024306299; XP_016879500; NP_525022","Q8IUA7; Q96MD8; Q8WWZ5; Q8N2S4; Q6P655"
"ABCB1",5243,"42741659; 1149123047; 1149123049; 1149123045","NP_001335873; NP_001335875; NP_000918; NP_001335874","P08183; B5AK60; Q12755; Q14812; A4D1D2; A8K294"
"ABCB10",23456,"171184400; 767912304; 767912302; ","NP_036221; XP_011542437; XP_011542438; ","Q9H3V0; Q9NRK6; Q13040; Q6P1Q8"
"ABCB11",8647,"767920343; 767920345; 1034617343; 1034617340; 578805073; 1034617338; 767920336; 767920338; 21536378","XP_011510379; XP_016860654; XP_011510380; NP_003733; XP_016860656; XP_011510382; XP_011510383; XP_006712880; XP_016860655","Q53TL2; Q9UNB2; O95342"
"ABCB4",5244,"1034655960; 9961252; 1370510370; 1370510362; 1370510366; 9961250; 1370510364; 1370510368; 1370510372; 1034655962; 4505771","XP_011514611; XP_011514614; NP_061337; XP_011514612; NP_000434; NP_061338; XP_011514613; XP_011514617; XP_016867812; XP_011514610; XP_011514615","A4D1D4; P21439; A0A2V7; D6W5P3; Q14813; A4D1D3; A4D1D5; D6W5P4"
"ABCB5",340273,"767945427; 255708371; 255708373; 148612844; 255708477","NP_001157414; NP_848654; XP_011513669; NP_001157413; NP_001157465","A0A024RA03; Q2M3G0; A4D131; A7BKA4; B7WPL1; Q8IXA1; B5MD19; Q5I5Q8; Q6KG50; F8QQP9; Q2M3I5; J3KQ04; Q5I5Q7; Q6XFQ5; F8QQP8"
"ABCB6",10058,"1169100883; 9955963; ","NP_005680; NP_001336757; ","Q59GQ5; Q9HAQ6; Q49A66; Q6ZME6; Q9NP58; O75542; Q96ME8; Q9HAQ7"
"ABCB7",22,"411147363; 411147369; 42490749; 411147365; 411147367","NP_001258626; NP_001258628; NP_004290; NP_001258625; NP_001258627","G3XAC4; O75027; Q5VWY7; Q9UND1; Q5VWY8; A0A0S2Z2Z3; O75345; Q9BRE1; Q9UP01; A0A087WW65"
"ABCB8",11194,"156105685; 533869067; 533869216; 533868883","NP_001269222; NP_001269221; NP_009119; NP_001269220","A5D8W3; G3XAP3; Q9NUT2; B4DG02; O95787; Q53GM0; B3KND2; B2RBL8"
"ABCB9",23457,"767973637; 1370461540; 339895785; 530401638; 1034578834; 1370461537; 339895787; 9955968; 9955966; 767973635; 767973643; 339895781","XP_024304677; XP_011536398; XP_024304676; XP_016874592; NP_062571; XP_005253615; XP_011536397; XP_011536400; NP_001229942; NP_001229943; NP_982269; NP_062570","Q769F3; Q96AB1; Q5W9G7; Q9NP78; Q9P208; A0A024RBU1; B4E2J0; Q769F4"
"ABCC1",4363,"767987236; 1034594636; 1034594638; 1034594649; 1034594647; 1034594640; 1034594643; 767987238; 1034594645; 134142337","XP_011520800; XP_016878728; NP_004987; XP_016878729; XP_011520799; XP_016878726; XP_016878730; XP_016878732; XP_016878727; XP_016878731","P33527; P78419; O43333; Q9UQ99; A3RJX2; Q9UQ97; C9JPJ4; O14819; Q59GI9; Q9UQA0"
"ABCC10",89845,"1034652143; 1034652147; 1034652160; 767940953; 1034652139; 312176403; 767940955; 1034652135; 1034652150; 25914749; 1034652137; 1179910167; 1034652128; 1034652133; 1034652131; 1034652141; 1034652152; ","XP_016866937; XP_016866938; XP_016866942; XP_016866945; XP_011513287; XP_016866936; XP_016866939; XP_011513276; NP_001185863; XP_016866934; XP_016866940; XP_016866943; NP_258261; XP_011513288; XP_016866944; XP_016866935; NP_001337447","Q9UF48; Q5T3U5; Q9H7N2; A0A024RD21; Q9NXY3; Q8NHX7"
"ABCC11",85320,"767990722; 767990724; 1034596360; 1034596369; 15149474; 1034596354; 21729876; 1034596358; 1034596364; 1034596356; 1034596362; 1034596371; 1370469381; 21729873; 1034596367","XP_011521700; XP_016879284; XP_016879287; XP_016879291; NP_660187; XP_011521699; NP_115972; XP_016879285; XP_016879288; XP_016879289; XP_016879286; NP_149163; XP_016879290; XP_016879292; XP_024306243","Q8TDJ0; Q9BX80; A0A024R6R9; A0A024R6Q6; Q96J66; Q96JA6"
"ABCC12",94160,"89111135","NP_150229","Q49AL2; Q8TEY2; Q96J65; Q8TAF0"
"ABCC2",1244,"578818931; 767961632; 1388169353; 578818933; 1034566467","XP_006717694; XP_016871164; NP_000383; XP_006717693; XP_011537593","Q14022; Q5T2B1; B2RMT8; Q92887; Q9UMS2; Q99663; Q92500; Q92798"
"ABCC3",8714,"767996344; 1034601856; 767996337; 530413045; 767996340; 221316556; 9955970; 767996342; 1034601853","XP_011523727; XP_011523725; XP_016880755; XP_005257820; XP_011523724; XP_011523726; NP_003777; XP_016880754; NP_001137542","B2RPA9; O75621; O60922; Q9UN52; O95289; D3DTX9; O95078; O95290; O15438; O60265; Q86X85; Q86VN9"
"ABCC4",10257,"685504970; 1034583608; 530423298; 1034583606; 1034583602; 1034583604; 157502203; 685504974; 157502201; ","NP_001098985; NP_001288758; NP_001288759; XP_005254082; XP_016875810; XP_016875811; NP_005836; XP_016875808; XP_016875809; ","Q8IZN6; Q8IVZ4; A8K2Q2; Q8NEW8; O15439; A9Z1Z7; B7Z3Q7; Q9Y6J2"
"ABCC5",10057,"530373795; 767925450; 1034630581; 66529093; 530373793; 767925452; 1034630583; 1034630585; 1370482893; 66529005; 987437939","NP_001018881; NP_001306961; NP_005679; XP_011510616; XP_016860983; XP_016860982; XP_016860981; XP_005247115; XP_005247116; XP_011510617; XP_024309054","Q86UX3; Q9UNP5; Q9UN85; O14517; Q9UQC3; B9EIQ2; Q29ZA9; Q86W30; O15440; Q29ZB1"
"ABCC6",368,"767987192; 767987189; 1034594531; 1370468414; 118582251; 767987198; 767987194; 190343023; 1034594539; 1199277034","XP_011520781; XP_016878701; NP_001072996; NP_001338729; NP_001162; XP_011520784; XP_011520782; XP_011520783; XP_016878703; XP_024306029; ","E7ESW8; A8KIG6; A8Y988; O95255; P78420; Q9UMZ7; Q8TCY8; A2RRN8"
"ABCC8",6833,"1034575117; 1034575123; 118582255; 1189438338; 1034575126; 1370460027; 1034575113; 1034575131; 1189438340; 562815400; 1189438336","XP_016873691; NP_001338226; NP_001274103; NP_001338224; XP_024304436; XP_016873688; NP_000343; XP_016873686; XP_016873693; XP_016873690; NP_001338225","E3UYX6; O75948; Q16583; Q09428; A6NMX8"
"ABCC9",10060,"530398962; 530398968; 110832837; 530398970; 530398972; 530398974; 578822737; 767971627; 530398966; 110832835","XP_006719088; XP_005253345; XP_005253347; XP_005253343; XP_005253346; XP_011518847; NP_064693; XP_005253344; NP_005682; XP_005253341","A0A024RAV7; O60706; O60707"
"ABCD1",215,"7262393","NP_000024","P33897; Q6GTZ2"
"ABCD2",225,"1034578531; 1034578534; 9945308; 767973470; ","XP_011536329; XP_016874482; NP_005155; XP_016874481; ","Q9UBJ2; Q2M3H9; B2RAM3; Q13210"
"ABCD3",5825,"767905375; 169881286; 4506341; 767905372","XP_011540179; NP_001116146; XP_006710865; NP_002849","Q15271; Q9H529; P28288; Q96DA3; D3DT46; Q6NUN5"
"ABCD4",5826,"530404363; 1034587803; 1370465397; 1370465403; 10947131; 1034587783; 1034587816; 1370465395; 1216866486; 1216866509; 1216866460; 1216866488; 1216866492; 1216866511; 4826958; 530404359; 1216866463; 1216866519; 1216866456; 1216866451; 1216866471; 767981214; 1216866480; 1216866454; 1216866482; 1217324475; 1216866494; 1216866490; 1216866467; 1034587820; 1370465389; 1370465399; 1216866474; 10947129; 1034587814; 1034587818; 1216866517","XP_016877028; XP_024305447; NP_001340530; XP_024305446; NP_001340520; XP_005267999; XP_016877020; XP_024305443; NP_001340537; XP_005267997; XP_016877030; XP_024305444; NP_001340524; NP_001340526; NP_001340536; NP_001340539; XP_011535343; XP_016877029; NP_001340522; NP_001340523; NP_001340527; NP_001340528; NP_001340529; NP_001340538; NP_064730; XP_016877031; XP_024305445; NP_001340521; NP_001340525; NP_001340531; NP_001340532; NP_001340533; NP_001340535; XP_016877023; NP_064720; NP_001340534; NP_005041","A0A024R6B9; A8K5L7; Q96E75; O14678; Q6IAQ0"
"ABCE1",6059,"108773784; 108773782; ","NP_001035809; NP_002931; ","Q13864; Q96AL0; Q13181; P61221; Q6NR76; Q96B10; O88793; Q99K66"
"ABCF1",23,"10947135; 69354671","NP_001081; NP_001020262; ","Q69YP6; Q2L6I2; O14897; A0A1U9X609; Q8NE71; A2BF75"
"ABCF2",10061,"1034653767; 1034653769; 27881506","XP_016867129; XP_016867128; NP_009120","Q75MJ0; Q75MJ1; O60864; A0A090N7X1; Q9UG63; Q96TE8; A0A090N7Y2"
"ABCF3",55324,"1189438344; 1370484566; 1370484568; 148612853; 1189438346; 1189438342","NP_001338229; XP_024309393; NP_060828; NP_001338227; XP_024309392; NP_001338228","Q9H7A8; Q9NUQ8; Q96GS8; A8K241; Q86UA2; Q8NAN1; A0A0S2Z5L1"
"ABCG1",9619,"46592915; 46592956; 768021997; 1370481662; 46592898; 768022001; 46592964; 46592971; 46592978","XP_011528109; NP_004906; NP_058198; NP_997510; NP_997511; NP_997512; XP_024307909; XP_011528108; NP_997057","Q86SU8; Q9BXL3; Q9BXL1; Q9BXL2; Q9BXK7; Q9BXK9; Q9BXL4; Q9BXK8; Q96L76; Q9BXK6; Q9BXL0; P45844"
"ABCG2",9429,"1149890082; 62526033; 1034641880; 1149890104; 383792176; 1149890125; 530378437; 767933082; 1149890096; 1149890080","XP_005263412; NP_001335915; NP_001335916; NP_001335917; NP_001335914; NP_001335918; NP_004818; XP_011530722; NP_001244315; XP_016864341","Q9NUS0; Q96TA8; A8K1T5; Q9BY73; Q8IX16; Q9UNQ0; Q96LD6; O95374; A0A024RDD4; Q4W5I3; Q53ZQ1; Q5YLG4; A0A1W3; Q569L4; Q86V64"
"ABCG4",64137,"1131742492; 20143975; 767970489; 215820660; 1131742482","NP_001135977; NP_001335120; NP_001335121; XP_011541254; NP_071452","A8K1B5; Q8WWH1; Q9H172; Q8WWH0; Q8WWH2"
"ABCG5",64240,"767915015; 767915025; 578803090; 767915023; 578803088; 767915018; 767915020; 530367936; 11967969","XP_006712136; NP_071881; XP_005264537; XP_006712137; XP_011531329; XP_011531330; XP_011531326; XP_011531328; XP_011531327","Q9H222; Q96QZ3; Q96QZ2; Q2T9G2"
"ABCG8",64241,"767915028; 1269361809; 11967971; 767915031; ","XP_011531331; NP_001344250; XP_011531332; NP_071882","Q53QN8; Q9H221"
"ABHD1",84696,"767915330; 1370479274; 1370479276; 194578891; 767915326; 767915332; 1034617177; 767915328; ","XP_011531439; XP_024308948; XP_011531437; XP_024308947; XP_011531438; XP_016860602; XP_011531440; NP_115993","Q96SE0; Q8IXQ7; A0A140VJD1; E9PDR9; Q05BY3; B3KSF6; Q53SZ1"
"ABHD10",55347,"8923001; 767927088; 440918682; ","XP_011511262; NP_001258998; NP_060864; ","Q9NUJ1; B7Z6A8; D3DN63; C9IZX5; Q8TCF9"
"ABHD11",83451,"578814658; 1370511039; 1008909409; 1370511041; 23200008; 1370511046; 1008909411; 23200012; 767948794; 223941839; 666638006; 1370511044","XP_024302715; XP_011514893; XP_024302718; NP_001138836; NP_683711; XP_024302716; XP_024302717; NP_001287987; NP_001308312; NP_683710; XP_006716207; NP_001308311","D3DXF2; Q8N723; Q8NFV2; Q8NFV3; Q6PJU0; Q8NFV4; H7BYM8; Q8N722; Q9HBS8; C9J7Q4"
"ABHD12",26090,"24308097; 1034624961; 768013639; 109689718; 1034624963","NP_001035937; XP_016883285; XP_011527516; XP_016883286; NP_056415","Q96CR1; A6NJ90; B4DE71; Q9UFV6; Q5T710; Q5T711; Q8N2K0; Q9NPX7; A6NED4; A8K450; Q9BX05"
"ABHD12B",145447,"767979826; 331284221; 578825532; 32451492; 32528310; 767979821; 1034586306","NP_853511; XP_011534776; XP_011534774; NP_861535; XP_016876520; NP_001193602; XP_006720115","Q3KNS0; Q7Z5M6; Q7Z5M8; Q7Z5M7; Q3KNR9; Q8N4D2"
"ABHD13",84945,"767978972; 49355781","NP_116248; XP_011519430","B3KWE7; Q96JX9; Q8NBW1; A0A024RDX1; Q7L211"
"ABHD14A",25864,"226437571","NP_056222","Q9BUJ0; Q9Y3T7; Q6UXU8"
"ABHD14B",84836,"363543330; 226443152; 14249382","NP_116139; NP_001241682; NP_001139786","V9HW87; Q86VK8; Q8N8W5; Q96IU4"
"ABHD15",116236,"269315865","NP_937790","Q6UXT9; Q96EC5"
"ABHD16A",7920,"294660765; 15100151","NP_001170986; NP_066983","B3KNX9; Q5SRR2; Q9NW33; O95870; A2BEY3; Q5SRR1; Q8WYH0; A0A1U9X777; B7Z4R6"
"ABHD16B",140701,"28629871","NP_542189","Q9H3Z7"
"ABHD17A",81926,"194306564; 768004270; 194306562","NP_001123583; NP_112490; XP_011526640","D6W5Z9; Q6PJU2; Q96GS6; A8K0G8; Q9BWL0; Q9H7Q9; Q8WUH9"
"ABHD17B",51104,"1034670282; 1034670284; 578817537; 71051602; 1370514588; 71051600; 1034670286; 1034670288; 1034670292","XP_024303335; XP_006717198; XP_016870276; XP_016870280; XP_016870278; XP_016870277; NP_057098; XP_006717197; NP_001020951","Q9Y377; Q86YB6; A8KAJ5; Q5VST7; A0A384MEH9; Q5VST6; Q8IY03"
"ABHD17C",58489,"151301175","NP_067037","Q1RMD6; Q6PCB6; Q9NPM1"
"ABHD18",80167,"1034641229; 985482176; 1480008115; 1480008230; 1480008161; 1480008184; 1480008189; 767932709; 985482418; 1480008152; 767932713; 1480008138; 1480008131; 1480008154; 767932701; 767932705; 1370487609; 1370487611; 1370487615; 1480008171; 1480008180; 578809391; 89363030; 1284804754; 578809397; 985482204; 1284804728; 1480008234; 1480008212","XP_024309995; XP_024309996; NP_001306236; NP_001352968; XP_006714383; XP_006714385; NP_001352969; NP_001306234; XP_011530580; XP_011530581; XP_016864121; NP_001345380; NP_001352970; NP_001352972; XP_011530578; NP_001034806; NP_001306235; NP_001345383; NP_079373; XP_011530576; XP_024309994; NP_001352966; NP_001352973; NP_001352974; NP_001352975; NP_001352977; NP_001352967; NP_001352971; NP_001352976","B7WP89"
"ABHD2",11057,"1370466142; 530406965; 1370466132; 530406963; 767983144; 1370466138; 1370466136; 1370466140; 23397659; 23397661","XP_024305597; NP_690888; NP_008942; XP_005254890; XP_024305599; XP_011519467; XP_024305598; XP_024305602; XP_005254889; XP_024305600","Q53GU0; P08910; Q53G48; A0A024RC89; Q8TC79; Q5FVD9"
"ABHD3",171586,"815659676; 767998301; 1034603499; 815891227; 1370473134; 23397663; 1034603495; 1034603497; ","XP_024306862; NP_001295186; NP_612213; XP_016881061; NP_001295185; XP_016881062; XP_016881063; XP_011524149; ","Q8WU67; J3KSP1; B0YIV0; B7Z5C2; J3KTE1; O43411"
"ABHD4",63874,"50658087; 530404453; ","NP_071343; XP_005268043","Q8TB40; B4DDH7; Q9H9E0"
"ABHD5",51099,"31542303; 1241765891; 1475928792; 767923434; 767923432; 1475409105","XP_011532081; XP_011532082; NP_001352579; NP_001342115; NP_001352578; NP_057090","A0A2U3TZT9; B2R9K0; C9J1D1; Q9Y369; Q8WTS1; A0A0S2Z5D6"
"ABHD6",57406,"530372882; 992319584; 530372880; 189027141","NP_001307055; XP_005265392; XP_005265391; NP_065727","Q6ZMF7; B2R7Y9; Q9BV23; A0A024R323"
"ABHD8",79575,"145611434","NP_078803","Q9HAE9; B2C6G3; Q96I13"
